date,number_cases_sold,cookie_type,troop_id,number_of_girls,period
2020,77.75,Thin Mints,1,8.0,1
2021,73.91666666666667,Thin Mints,1,7.0,2
2021,30.5,"Do-Si-
Dos",1,7.0,2
2021,17.916666666666668,Smores,1,7.0,2
2021,17.25,Lemon-Ups,1,7.0,2
2021,24.75,Trefoils,1,7.0,2
2021,12.0,"Toffee-
tastic",1,7.0,2
2021,49.5,Samoas,1,7.0,2
2021,40.75,Tagalongs,1,7.0,2
2024,9.583333333333334,Smores,1,4.0,5
2024,3.083333333333333,"Toffee-
tastic",1,4.0,5
2024,21.416666666666668,"Do-Si-
Dos",1,4.0,5
2024,54.25,Thin Mints,1,4.0,5
2024,8.166666666666666,Lemon-Ups,1,4.0,5
2024,9.083333333333334,Trefoils,1,4.0,5
2024,12.916666666666666,Adventurefuls,1,4.0,5
2024,22.666666666666668,Tagalongs,1,4.0,5
2022,46.333333333333336,Tagalongs,1,7.0,3
2023,29.83333333333333,Smores,1,9.0,4
2022,20.416666666666668,Lemon-Ups,1,7.0,3
2022,7.583333333333333,"Toffee-
tastic",1,7.0,3
2022,46.583333333333336,"Do-Si-
Dos",1,7.0,3
2022,41.0,Samoas,1,7.0,3
2022,88.25,Thin Mints,1,7.0,3
2022,25.75,Trefoils,1,7.0,3
2023,36.0,Trefoils,1,9.0,4
2022,17.333333333333332,Smores,1,7.0,3
2023,55.0,Samoas,1,9.0,4
2023,57.833333333333336,Tagalongs,1,9.0,4
2023,46.583333333333336,"Do-Si-
Dos",1,9.0,4
2023,89.25,Thin Mints,1,9.0,4
2023,14.0,"Toffee-
tastic",1,9.0,4
2023,25.5,Lemon-Ups,1,9.0,4
2023,45.333333333333336,Adventurefuls,1,9.0,4
2024,26.5,Samoas,1,4.0,5
2022,22.33333333333333,Adventurefuls,1,7.0,3
2020,33.333333333333336,"Do-Si-
Dos",1,8.0,1
2020,27.83333333333333,Trefoils,1,8.0,1
2020,9.416666666666666,"Toffee-
tastic",1,8.0,1
2020,35.416666666666664,Tagalongs,1,8.0,1
2020,49.083333333333336,Samoas,1,8.0,1
2022,2.333333333333333,"Toffee-
tastic",2,5.0,3
2022,1.6666666666666667,Adventurefuls,2,5.0,3
2022,3.25,Tagalongs,2,5.0,3
2022,3.75,"Do-Si-
Dos",2,5.0,3
2022,3.583333333333333,Lemon-Ups,2,5.0,3
2022,9.75,Thin Mints,2,5.0,3
2022,4.416666666666667,Samoas,2,5.0,3
2020,5.833333333333333,"Toffee-
tastic",2,8.0,1
2020,29.25,Samoas,2,8.0,1
2020,44.583333333333336,Thin Mints,2,8.0,1
2021,7.25,Tagalongs,2,4.0,2
2021,2.9166666666666665,Lemon-Ups,2,4.0,2
2021,3.1666666666666665,Smores,2,4.0,2
2021,7.416666666666667,Samoas,2,4.0,2
2021,11.916666666666666,Thin Mints,2,4.0,2
2021,2.6666666666666665,"Toffee-
tastic",2,4.0,2
2021,5.083333333333333,Trefoils,2,4.0,2
2021,5.083333333333333,"Do-Si-
Dos",2,4.0,2
2022,3.5,Trefoils,2,5.0,3
2022,1.4166666666666667,Smores,2,5.0,3
2020,25.58333333333333,Tagalongs,2,8.0,1
2023,0.0,Adventurefuls,2,0.0,4
2023,0.0,Smores,2,0.0,4
2023,0.0,Thin Mints,2,0.0,4
2023,0.0,"Do-Si-
Dos",2,0.0,4
2023,0.0,Lemon-Ups,2,0.0,4
2023,0.0,"Toffee-
tastic",2,0.0,4
2023,0.0,Samoas,2,0.0,4
2023,0.0,Tagalongs,2,0.0,4
2023,0.0,Trefoils,2,0.0,4
2020,16.666666666666668,"Do-Si-
Dos",2,8.0,1
2020,16.666666666666668,Trefoils,2,8.0,1
2020,0.0,Trefoils,3,0.0,1
2020,0.0,Thin Mints,3,0.0,1
2020,0.0,"Toffee-
tastic",3,0.0,1
2020,0.0,"Do-Si-
Dos",3,0.0,1
2020,0.0,Samoas,3,0.0,1
2020,0.0,Tagalongs,3,0.0,1
2022,4.416666666666667,Tagalongs,4,3.0,3
2022,2.4166666666666665,"Do-Si-
Dos",4,3.0,3
2023,0.0,Trefoils,4,0.0,4
2022,3.0,Adventurefuls,4,3.0,3
2022,8.083333333333334,Thin Mints,4,3.0,3
2022,2.5,Trefoils,4,3.0,3
2022,8.25,Samoas,4,3.0,3
2020,19.0,Tagalongs,4,7.0,1
2023,0.0,Tagalongs,4,0.0,4
2022,0.5,"Toffee-
tastic",4,3.0,3
2023,0.0,Samoas,4,0.0,4
2023,0.0,"Toffee-
tastic",4,0.0,4
2022,2.083333333333333,Lemon-Ups,4,3.0,3
2022,1.8333333333333333,Smores,4,3.0,3
2023,0.0,Smores,4,0.0,4
2023,0.0,Thin Mints,4,0.0,4
2021,11.666666666666666,Samoas,4,3.0,2
2021,1.5,"Toffee-
tastic",4,3.0,2
2021,5.833333333333333,Smores,4,3.0,2
2021,13.083333333333334,Thin Mints,4,3.0,2
2021,2.9166666666666665,Lemon-Ups,4,3.0,2
2021,8.083333333333334,Tagalongs,4,3.0,2
2023,0.0,"Do-Si-
Dos",4,0.0,4
2021,5.25,Trefoils,4,3.0,2
2020,12.416666666666666,Trefoils,4,7.0,1
2020,11.0,"Do-Si-
Dos",4,7.0,1
2020,4.083333333333333,"Toffee-
tastic",4,7.0,1
2020,39.083333333333336,Thin Mints,4,7.0,1
2020,25.58333333333333,Samoas,4,7.0,1
2023,0.0,Lemon-Ups,4,0.0,4
2021,3.9166666666666665,"Do-Si-
Dos",4,3.0,2
2023,0.0,Adventurefuls,4,0.0,4
2020,3.0,Trefoils,5,6.0,1
2020,5.333333333333333,Samoas,5,6.0,1
2020,3.1666666666666665,"Do-Si-
Dos",5,6.0,1
2020,5.25,Tagalongs,5,6.0,1
2021,2.6666666666666665,"Do-Si-
Dos",5,4.0,2
2021,2.25,Samoas,5,4.0,2
2021,0.8333333333333334,"Toffee-
tastic",5,4.0,2
2021,4.916666666666667,Thin Mints,5,4.0,2
2021,1.6666666666666667,Trefoils,5,4.0,2
2021,2.5,Tagalongs,5,4.0,2
2021,1.3333333333333333,Lemon-Ups,5,4.0,2
2020,8.0,Thin Mints,5,6.0,1
2021,1.0,Smores,5,4.0,2
2023,13.166666666666666,"Do-Si-
Dos",5,9.0,4
2022,1.0,"Toffee-
tastic",5,5.0,3
2024,15.583333333333334,Adventurefuls,5,16.0,5
2024,6.333333333333333,"Toffee-
tastic",5,16.0,5
2024,32.166666666666664,Samoas,5,16.0,5
2024,16.666666666666668,Trefoils,5,16.0,5
2024,21.58333333333333,"Do-Si-
Dos",5,16.0,5
2024,11.75,Lemon-Ups,5,16.0,5
2024,58.333333333333336,Thin Mints,5,16.0,5
2023,8.166666666666666,Smores,5,9.0,4
2023,18.0,Samoas,5,9.0,4
2023,8.0,Adventurefuls,5,9.0,4
2023,30.58333333333333,Thin Mints,5,9.0,4
2023,4.0,"Toffee-
tastic",5,9.0,4
2023,17.416666666666668,Tagalongs,5,9.0,4
2023,8.5,Trefoils,5,9.0,4
2023,8.0,Lemon-Ups,5,9.0,4
